#chrom	chromStart	chromEnd	name	gieStain
chr1	0	8912711	qA1	gpos100
chr1	8912711	12378766	qA2	gneg
chr1	12378766	20301176	qA3	gpos33
chr1	20301176	22281779	qA4	gneg
chr1	22281779	31194491	qA5	gpos100
chr1	31194491	43573257	qB	gneg
chr1	43573257	54961723	qC1.1	gpos66
chr1	54961723	56447175	qC1.2	gneg
chr1	56447175	59913229	qC1.3	gpos75
chr1	59913229	65855037	qC2	gneg
chr1	65855037	75262900	qC3	gpos33
chr1	75262900	80709557	qC4	gneg
chr1	80709557	88136817	qC5	gpos33
chr1	88136817	100515583	qD	gneg
chr1	100515583	103486487	qE1.1	gpos33
chr1	103486487	104476788	qE1.2	gneg
chr1	104476788	113389500	qE2.1	gpos100
chr1	113389500	114874952	qE2.2	gneg
chr1	114874952	126758568	qE2.3	gpos100
chr1	126758568	129729472	qE3	gneg
chr1	129729472	140622786	qE4	gpos66
chr1	140622786	148545197	qF	gneg
chr1	148545197	153001553	qG1	gpos100
chr1	153001553	153991854	qG2	gneg
chr1	153991854	158448210	qG3	gpos100
chr1	158448210	161419114	qH1	gneg
chr1	161419114	165380319	qH2.1	gpos33
chr1	165380319	166865771	qH2.2	gneg
chr1	166865771	171322127	qH2.3	gpos33
chr1	171322127	177263935	qH3	gneg
chr1	177263935	183205743	qH4	gpos33
chr1	183205743	189642702	qH5	gneg
chr1	189642702	197069962	qH6	gpos33
chr2	0	14070368	qA1	gpos100
chr2	14070368	16415429	qA2	gneg
chr2	16415429	29078760	qA3	gpos33
chr2	29078760	48308264	qB	gneg
chr2	48308264	60502583	qC1.1	gpos100
chr2	60502583	60971595	qC1.2	gneg
chr2	60971595	68475791	qC1.3	gpos100
chr2	68475791	71758877	qC2	gneg
chr2	71758877	81139123	qC3	gpos66
chr2	81139123	88643319	qD	gneg
chr2	88643319	101306651	qE1	gpos100
chr2	101306651	105058749	qE2	gneg
chr2	105058749	113031957	qE3	gpos33
chr2	113031957	115846031	qE4	gneg
chr2	115846031	123819240	qE5	gpos66
chr2	123819240	131792448	qF1	gneg
chr2	131792448	134606522	qF2	gpos33
chr2	134606522	141172694	qF3	gneg
chr2	141172694	146800841	qG1	gpos100
chr2	146800841	147738866	qG2	gneg
chr2	147738866	152428988	qG3	gpos100
chr2	152428988	158995160	qH1	gneg
chr2	158995160	163216271	qH2	gpos33
chr2	163216271	173534541	qH3	gneg
